date,ordinal,equity,cash,gross_exposure
2022-03-01,738215.0,100000.0,100000.0,0
2022-03-02,738216.0,100000.0,100000.0,0
2022-03-03,738217.0,100000.0,100000.0,0
2022-03-04,738218.0,100000.0,100000.0,0
2022-03-05,738219.0,100000.0,100000.0,0
2022-03-06,738220.0,100000.0,100000.0,0
2022-03-07,738221.0,100000.0,100000.0,0
2022-03-08,738222.0,100000.0,100000.0,0
2022-03-09,738223.0,100000.0,100000.0,0
2022-03-10,738224.0,100000.0,100000.0,0
2022-03-11,738225.0,100000.0,100000.0,0
2022-03-12,738226.0,100000.0,100000.0,0
2022-03-13,738227.0,100000.0,100000.0,0
2022-03-14,738228.0,100000.0,100000.0,0
2022-03-15,738229.0,100000.0,100000.0,0
2022-03-16,738230.0,100000.0,100000.0,0
2022-03-17,738231.0,100000.0,100000.0,0
2022-03-18,738232.0,100000.0,100000.0,0
2022-03-19,738233.0,100000.0,100000.0,0
2022-03-20,738234.0,100000.0,100000.0,0
2022-03-21,738235.0,100000.0,100000.0,0
2022-03-22,738236.0,100000.0,100000.0,0
2022-03-23,738237.0,100000.0,100000.0,0
2022-03-24,738238.0,100000.0,100000.0,0
2022-03-25,738239.0,99980.18194199723,94735.26915487886,5244.912787118372
2022-03-26,738240.0,100052.6470667356,94735.26915487886,5317.377911856744
2022-03-27,738241.0,100307.35707704442,94735.26915487886,5572.087922165558
2022-03-28,738242.0,100398.8323059875,96172.5059490752,4226.3263569123
2022-03-29,738243.0,100484.54015329968,96172.5059490752,4312.034204224477
2022-03-30,738244.0,100465.87438155185,96172.5059490752,4293.3684324766555
2022-03-31,738245.0,100122.43561038218,89321.15577095088,10801.279839431303
2022-04-01,738246.0,100633.75463701051,89321.15577095088,11312.59886605963
2022-04-02,738247.0,100456.68918179414,89321.15577095088,11135.533410843258
2022-04-03,738248.0,100760.13477636066,89321.15577095088,11438.979005409781
2022-04-04,738249.0,100713.72972229977,89321.15577095088,11392.573951348897
2022-04-05,738250.0,100526.1636166326,89321.15577095088,11205.007845681725
2022-04-06,738251.0,99842.90553525083,89321.15577095088,10521.749764299953
2022-04-07,738252.0,100163.47563779575,89321.15577095088,10842.31986684487
2022-04-08,738253.0,99894.86121271482,89321.15577095088,10573.705441763945
2022-04-09,738254.0,100057.73828438274,89321.15577095088,10736.582513431855
2022-04-10,738255.0,99855.72787861114,89321.15577095088,10534.57210766026
2022-04-11,738256.0,99644.27334767014,99644.27334767014,0
2022-04-12,738257.0,99644.27334767014,99644.27334767014,0
2022-04-13,738258.0,99644.27334767014,99644.27334767014,0
2022-04-14,738259.0,99644.27334767014,99644.27334767014,0
2022-04-15,738260.0,99644.27334767014,99644.27334767014,0
2022-04-16,738261.0,99644.27334767014,99644.27334767014,0
2022-04-17,738262.0,99644.27334767014,99644.27334767014,0
2022-04-18,738263.0,99644.27334767014,99644.27334767014,0
2022-04-19,738264.0,99644.27334767014,99644.27334767014,0
2022-04-20,738265.0,99644.27334767014,99644.27334767014,0
2022-04-21,738266.0,99644.27334767014,99644.27334767014,0
2022-04-22,738267.0,99644.27334767014,99644.27334767014,0
2022-04-23,738268.0,99644.27334767014,99644.27334767014,0
2022-04-24,738269.0,99644.27334767014,99644.27334767014,0
2022-04-25,738270.0,99644.27334767014,99644.27334767014,0
2022-04-26,738271.0,99644.27334767014,99644.27334767014,0
2022-04-27,738272.0,99644.27334767014,99644.27334767014,0
2022-04-28,738273.0,99644.27334767014,99644.27334767014,0
2022-04-29,738274.0,99644.27334767014,99644.27334767014,0
2022-04-30,738275.0,99644.27334767014,99644.27334767014,0
2022-05-01,738276.0,99644.27334767014,99644.27334767014,0
2022-05-02,738277.0,99644.27334767014,99644.27334767014,0
2022-05-03,738278.0,99644.27334767014,99644.27334767014,0
2022-05-04,738279.0,99644.27334767014,99644.27334767014,0
2022-05-05,738280.0,99644.27334767014,99644.27334767014,0
2022-05-06,738281.0,99644.27334767014,99644.27334767014,0
2022-05-07,738282.0,99644.27334767014,99644.27334767014,0
2022-05-08,738283.0,99644.27334767014,99644.27334767014,0
2022-05-09,738284.0,99644.27334767014,99644.27334767014,0
2022-05-10,738285.0,99644.27334767014,99644.27334767014,0
2022-05-11,738286.0,99644.27334767014,99644.27334767014,0
2022-05-12,738287.0,99644.27334767014,99644.27334767014,0
2022-05-13,738288.0,99644.27334767014,99644.27334767014,0
2022-05-14,738289.0,99644.27334767014,99644.27334767014,0
2022-05-15,738290.0,99644.27334767014,99644.27334767014,0
2022-05-16,738291.0,99644.27334767014,99644.27334767014,0
2022-05-17,738292.0,99644.27334767014,99644.27334767014,0
2022-05-18,738293.0,99644.27334767014,99644.27334767014,0
2022-05-19,738294.0,99644.27334767014,99644.27334767014,0
2022-05-20,738295.0,99644.27334767014,99644.27334767014,0
2022-05-21,738296.0,99644.27334767014,99644.27334767014,0
2022-05-22,738297.0,99644.27334767014,99644.27334767014,0
2022-05-23,738298.0,99644.27334767014,99644.27334767014,0
2022-05-24,738299.0,99644.27334767014,99644.27334767014,0
2022-05-25,738300.0,99644.27334767014,99644.27334767014,0
2022-05-26,738301.0,99644.27334767014,99644.27334767014,0
2022-05-27,738302.0,99644.27334767014,99644.27334767014,0
2022-05-28,738303.0,99644.27334767014,99644.27334767014,0
2022-05-29,738304.0,99644.27334767014,99644.27334767014,0
2022-05-30,738305.0,99644.27334767014,99644.27334767014,0
2022-05-31,738306.0,99644.27334767014,99644.27334767014,0
2022-06-01,738307.0,99644.27334767014,99644.27334767014,0
2022-06-02,738308.0,99644.27334767014,99644.27334767014,0
2022-06-03,738309.0,99644.27334767014,99644.27334767014,0
2022-06-04,738310.0,99644.27334767014,99644.27334767014,0
2022-06-05,738311.0,99644.27334767014,99644.27334767014,0
2022-06-06,738312.0,99644.27334767014,99644.27334767014,0
2022-06-07,738313.0,99644.27334767014,99644.27334767014,0
2022-06-08,738314.0,99644.27334767014,99644.27334767014,0
2022-06-09,738315.0,99644.27334767014,99644.27334767014,0
2022-06-10,738316.0,99644.27334767014,99644.27334767014,0
2022-06-11,738317.0,99644.27334767014,99644.27334767014,0
2022-06-12,738318.0,99644.27334767014,99644.27334767014,0
2022-06-13,738319.0,99644.27334767014,99644.27334767014,0
2022-06-14,738320.0,99644.27334767014,99644.27334767014,0
2022-06-15,738321.0,99644.27334767014,99644.27334767014,0
2022-06-16,738322.0,99644.27334767014,99644.27334767014,0
2022-06-17,738323.0,99644.27334767014,99644.27334767014,0
2022-06-18,738324.0,99644.27334767014,99644.27334767014,0
2022-06-19,738325.0,99644.27334767014,99644.27334767014,0
2022-06-20,738326.0,99644.27334767014,99644.27334767014,0
2022-06-21,738327.0,99644.27334767014,99644.27334767014,0
2022-06-22,738328.0,99644.27334767014,99644.27334767014,0
2022-06-23,738329.0,99644.27334767014,99644.27334767014,0
2022-06-24,738330.0,99644.27334767014,99644.27334767014,0
2022-06-25,738331.0,99644.27334767014,99644.27334767014,0
2022-06-26,738332.0,99644.27334767014,99644.27334767014,0
2022-06-27,738333.0,99644.27334767014,99644.27334767014,0
2022-06-28,738334.0,99644.27334767014,99644.27334767014,0
2022-06-29,738335.0,99644.27334767014,99644.27334767014,0
2022-06-30,738336.0,99644.27334767014,99644.27334767014,0
2022-07-01,738337.0,99644.27334767014,99644.27334767014,0
2022-07-02,738338.0,99644.27334767014,99644.27334767014,0
2022-07-03,738339.0,99644.27334767014,99644.27334767014,0
2022-07-04,738340.0,99644.27334767014,99644.27334767014,0
2022-07-05,738341.0,99644.27334767014,99644.27334767014,0
2022-07-06,738342.0,99644.27334767014,99644.27334767014,0
2022-07-07,738343.0,99644.27334767014,99644.27334767014,0
2022-07-08,738344.0,99644.27334767014,99644.27334767014,0
2022-07-09,738345.0,99644.27334767014,99644.27334767014,0
2022-07-10,738346.0,99644.27334767014,99644.27334767014,0
2022-07-11,738347.0,99644.27334767014,99644.27334767014,0
2022-07-12,738348.0,99644.27334767014,99644.27334767014,0
2022-07-13,738349.0,99644.27334767014,99644.27334767014,0
2022-07-14,738350.0,99644.27334767014,99644.27334767014,0
2022-07-15,738351.0,99644.27334767014,99644.27334767014,0
2022-07-16,738352.0,99644.27334767014,99644.27334767014,0
2022-07-17,738353.0,99644.27334767014,99644.27334767014,0
2022-07-18,738354.0,99644.27334767014,99644.27334767014,0
2022-07-19,738355.0,99726.16529548998,94533.2853775729,5192.879917917079
2022-07-20,738356.0,99525.10069703005,94533.2853775729,4991.815319457147
2022-07-21,738357.0,99668.16589208807,94533.2853775729,5134.8805145151755
2022-07-22,738358.0,99606.29986179271,94533.2853775729,5073.0144842198115
2022-07-23,738359.0,99544.43383149734,94533.2853775729,5011.1484539244475
2022-07-24,738360.0,99586.96672732542,94533.2853775729,5053.68134975251
2022-07-25,738361.0,99262.17006827475,94533.2853775729,4728.8846907018515
2022-07-26,738362.0,99354.9691137178,94533.2853775729,4821.683736144897
2022-07-27,738363.0,99784.16469889188,94533.2853775729,5250.879321318982
2022-07-28,738364.0,99892.43025190877,94533.2853775729,5359.144874335868
2022-07-29,738365.0,100188.9132347208,95931.7570250211,4257.156209699705
2022-07-30,738366.0,100104.81409978804,95931.7570250211,4173.057074766945
2022-07-31,738367.0,100041.01475604594,95931.7570250211,4109.257731024851
2022-08-01,738368.0,100038.11478587585,95931.7570250211,4106.357760854756
2022-08-02,738369.0,100046.81469638614,95931.7570250211,4115.057671365042
2022-08-03,738370.0,100245.46265303766,95931.7570250211,4313.705628016561
2022-08-04,738371.0,100452.81052019946,95931.7570250211,4521.053495178366
2022-08-05,738372.0,100506.53725988376,97452.86867077355,3053.6685891102106
2022-08-06,738373.0,100499.7706628202,97452.86867077355,3046.9019920466553
2022-08-07,738374.0,100573.23657379595,97452.86867077355,3120.3679030224
2022-08-08,738375.0,100593.53636498662,97452.86867077355,3140.6676942130657
2022-08-09,738376.0,100588.7030813698,97452.86867077355,3135.8344105962406
2022-08-10,738377.0,100631.23597719785,97452.86867077355,3178.3673064243035
2022-08-11,738378.0,100580.96982758287,97452.86867077355,3128.1011568093204
2022-08-12,738379.0,100622.53606668756,97452.86867077355,3169.6673959140176
2022-08-13,738380.0,100587.73642464643,97452.86867077355,3134.8677538728757
2022-08-14,738381.0,100522.97042418097,97452.86867077355,3070.101753407417
2022-08-15,738382.0,100541.3369019249,97452.86867077355,3088.468231151353
2022-08-16,738383.0,100508.47057333049,97452.86867077355,3055.6019025569412
2022-08-17,738384.0,100419.53815478091,97452.86867077355,2966.669484007356
2022-08-18,738385.0,100334.47236312478,97452.86867077355,2881.6036923512315
2022-08-19,738386.0,100150.80758568541,97452.86867077355,2697.9389149118706
2022-08-20,738387.0,100195.27379496022,97452.86867077355,2742.4051241866628
2022-08-21,738388.0,100371.20531861264,97452.86867077355,2918.336647839103
2022-08-22,738389.0,100352.83884086872,97452.86867077355,2899.9701700951673
2022-08-23,738390.0,100346.07224380516,97452.86867077355,2893.203573031612
2022-08-24,738391.0,100318.03919882757,97452.86867077355,2865.170528054025
2022-08-25,738392.0,100364.4387215491,97452.86867077355,2911.5700507755478
2022-08-26,738393.0,100155.64086930224,97452.86867077355,2702.772198528696
2022-08-27,738394.0,100139.20770500504,97452.86867077355,2686.3390342314897
2022-08-28,738395.0,100125.67451087793,97452.86867077355,2672.805840104379
2022-08-29,738396.0,100216.54024287424,97452.86867077355,2763.671572100694
2022-08-30,738397.0,100174.97400376954,97452.86867077355,2722.1053329959973
2022-08-31,738398.0,100151.77424240878,97452.86867077355,2698.9055716352354
2022-09-01,738399.0,100143.0743318985,97452.86867077355,2690.20566112495
2022-09-02,738400.0,100135.34107811158,97452.86867077355,2682.47240733803
2022-09-03,738401.0,100138.24104828168,97452.86867077355,2685.372377508125
2022-09-04,738402.0,100150.80758568541,97452.86867077355,2697.9389149118706
2022-09-05,738403.0,100129.54113777139,97452.86867077355,2676.672466997839
2022-09-06,738404.0,100063.41540583578,100063.41540583578,0
2022-09-07,738405.0,100063.41540583578,100063.41540583578,0
2022-09-08,738406.0,100063.41540583578,100063.41540583578,0
2022-09-09,738407.0,100063.41540583578,100063.41540583578,0
2022-09-10,738408.0,100063.41540583578,100063.41540583578,0
2022-09-11,738409.0,100063.41540583578,100063.41540583578,0
2022-09-12,738410.0,100063.41540583578,100063.41540583578,0
2022-09-13,738411.0,100063.41540583578,100063.41540583578,0
2022-09-14,738412.0,100063.41540583578,100063.41540583578,0
2022-09-15,738413.0,100063.41540583578,100063.41540583578,0
2022-09-16,738414.0,100063.41540583578,100063.41540583578,0
2022-09-17,738415.0,100063.41540583578,100063.41540583578,0
2022-09-18,738416.0,100063.41540583578,100063.41540583578,0
2022-09-19,738417.0,100063.41540583578,100063.41540583578,0
2022-09-20,738418.0,100063.41540583578,100063.41540583578,0
2022-09-21,738419.0,100063.41540583578,100063.41540583578,0
2022-09-22,738420.0,100063.41540583578,100063.41540583578,0
2022-09-23,738421.0,100063.41540583578,100063.41540583578,0
2022-09-24,738422.0,100063.41540583578,100063.41540583578,0
2022-09-25,738423.0,100063.41540583578,100063.41540583578,0
2022-09-26,738424.0,100063.41540583578,100063.41540583578,0
2022-09-27,738425.0,100063.41540583578,100063.41540583578,0
2022-09-28,738426.0,100063.41540583578,100063.41540583578,0
2022-09-29,738427.0,100063.41540583578,100063.41540583578,0
2022-09-30,738428.0,100063.41540583578,100063.41540583578,0
2022-10-01,738429.0,100063.41540583578,100063.41540583578,0
2022-10-02,738430.0,100063.41540583578,100063.41540583578,0
2022-10-03,738431.0,100063.41540583578,100063.41540583578,0
2022-10-04,738432.0,100063.41540583578,100063.41540583578,0
2022-10-05,738433.0,100063.41540583578,100063.41540583578,0
2022-10-06,738434.0,100063.41540583578,100063.41540583578,0
2022-10-07,738435.0,100063.41540583578,100063.41540583578,0
2022-10-08,738436.0,100063.41540583578,100063.41540583578,0
2022-10-09,738437.0,100063.41540583578,100063.41540583578,0
2022-10-10,738438.0,100063.41540583578,100063.41540583578,0
2022-10-11,738439.0,100063.41540583578,100063.41540583578,0
2022-10-12,738440.0,100063.41540583578,100063.41540583578,0
2022-10-13,738441.0,100063.41540583578,100063.41540583578,0
2022-10-14,738442.0,100063.41540583578,100063.41540583578,0
2022-10-15,738443.0,100063.41540583578,100063.41540583578,0
2022-10-16,738444.0,100063.41540583578,100063.41540583578,0
2022-10-17,738445.0,100063.41540583578,100063.41540583578,0
2022-10-18,738446.0,100063.41540583578,100063.41540583578,0
2022-10-19,738447.0,100063.41540583578,100063.41540583578,0
2022-10-20,738448.0,100063.41540583578,100063.41540583578,0
2022-10-21,738449.0,100063.41540583578,100063.41540583578,0
2022-10-22,738450.0,100063.41540583578,100063.41540583578,0
2022-10-23,738451.0,100063.41540583578,100063.41540583578,0
2022-10-24,738452.0,100063.41540583578,100063.41540583578,0
2022-10-25,738453.0,100063.41540583578,100063.41540583578,0
2022-10-26,738454.0,100063.41540583578,100063.41540583578,0
2022-10-27,738455.0,100063.41540583578,100063.41540583578,0
2022-10-28,738456.0,100063.41540583578,100063.41540583578,0
2022-10-29,738457.0,100063.41540583578,100063.41540583578,0
2022-10-30,738458.0,100063.41540583578,100063.41540583578,0
2022-10-31,738459.0,100063.41540583578,100063.41540583578,0
2022-11-01,738460.0,100022.71750481828,94100.54669937363,5922.1708054446435
2022-11-02,738461.0,99955.06689666717,94100.54669937363,5854.520197293531
2022-11-03,738462.0,100125.1076144524,94100.54669937363,6024.5609150787595
2022-11-04,738463.0,100574.48998387404,95711.873973661,4862.616010213038
2022-11-05,738464.0,100500.4399938708,95711.873973661,4788.566020209793
2022-11-06,738465.0,100345.48353330845,95711.873973661,4633.609559647449
2022-11-07,738466.0,100333.14186830791,95711.873973661,4621.267894646909
2022-11-08,738467.0,99808.78769573574,99808.78769573574,0
2022-11-09,738468.0,99808.78769573574,99808.78769573574,0
2022-11-10,738469.0,99808.78769573574,99808.78769573574,0
2022-11-11,738470.0,99808.78769573574,99808.78769573574,0
2022-11-12,738471.0,99808.78769573574,99808.78769573574,0
2022-11-13,738472.0,99808.78769573574,99808.78769573574,0
2022-11-14,738473.0,99808.78769573574,99808.78769573574,0
2022-11-15,738474.0,99808.78769573574,99808.78769573574,0
2022-11-16,738475.0,99808.78769573574,99808.78769573574,0
