timestamp,stablecoin_growth_30d_pct,btc_etf_flow_5d_usd,eth_etf_flow_5d_usd,total_market_trend_30d_pct,btc_trend_30d_pct,funding_rate,oi_growth_7d_pct
2023-02-22,-1.0142340211097833,,,,5.523368584575694,,
2023-02-23,-1.0877186147488893,,,,5.776151432715837,,
2023-02-24,-1.2064137240574868,,,,0.539223466172678,,
2023-02-25,-1.4266883978829803,,,,0.640687711460175,,
2023-02-26,-1.4889582878358842,,,,2.083239433201456,,
2023-02-27,-1.4228848846862485,,,,2.039257077827883,,
2023-02-28,-1.7545145589763722,,,,-2.5302097943333157,,
2023-03-01,-1.8244255054207015,,,,3.51710647656307,,
2023-03-02,-1.7093350931230211,,,,1.4710836220164003,,
2023-03-03,-1.637811762658481,,,,-5.807692858701885,,
2023-03-04,-1.581157146624923,,,,-4.863437856284703,,
2023-03-05,-1.7105443661934672,,,,-4.2747707185503465,,
2023-03-06,-1.459382167747758,,,,-3.930408062129287,,
2023-03-07,-1.6252495065041117,,,,-3.2047829952675078,,
2023-03-08,-1.6403719016498286,,,,-4.643949791147916,,
2023-03-09,-1.6339876969467704,,,,-12.384608566267607,,
2023-03-10,-1.5165922682998767,,,,-12.247136698166617,,
2023-03-11,-1.6848140747494633,,,,-6.150662840337939,,
2023-03-12,-3.627093907311263,,,,1.7198461608892268,,
2023-03-13,-1.0381373376538994,,,,10.295825509833033,,
2023-03-14,-2.0103536678637846,,,,13.252529203242446,,
2023-03-15,-2.791611745574929,,,,11.535287317838684,,
2023-03-16,-2.608764005430164,,,,12.60792870579246,,
2023-03-17,-2.4357943217431677,,,,12.625693500876721,,
2023-03-18,-2.1719951164922646,,,,14.41368465990751,,
2023-03-19,-1.98504647725678,,,,13.849833760480767,,
2023-03-20,-2.1394892752788275,,,,12.524627567041978,,
2023-03-21,-1.9276165859024474,,,,15.794940292751747,,
2023-03-22,-2.094979837958355,,,,9.696282937904055,,
2023-03-23,-1.9785226872377049,,,,15.717425372646021,,
2023-03-24,-1.6728919033696776,,,,13.531683001677685,,
2023-03-25,-1.2569794828588998,,,,14.714789350130753,,
2023-03-26,-1.0602916005848395,,,,20.628424315589754,,
2023-03-27,-1.6834630350586854,,,,17.134464766052005,,
2023-03-28,-2.0794453038143423,,,,15.73442412072248,,
2023-03-29,-2.297766399318202,,,,20.67295842983745,,
2023-03-30,-2.119809851112675,,,,21.117668334516626,,
2023-03-31,-2.029119867193452,,,,20.468052564288676,,
2023-04-01,-2.287527059866601,,,,21.254387325636294,,
2023-04-02,-2.468737123177167,,,,26.024163540502656,,
2023-04-03,-2.319537361810331,,,,24.40387943205602,,
2023-04-04,-1.9753014963583393,,,,25.569186954753942,,
2023-04-05,-2.4959814057250895,,,,25.702855867916096,,
2023-04-06,-2.3961945158482933,,,,26.29007350224977,,
2023-04-07,-2.2560102793994896,,,,28.568368114168628,,
2023-04-08,-2.1734451413859657,,,,37.20694501876514,,
2023-04-09,-2.0368736824626588,,,,40.55975254445381,,
2023-04-10,-2.0094542074821087,,,,44.885271755151244,,
2023-04-11,0.14775003212854632,,,,37.29267162822752,,
2023-04-12,-2.523049717466097,,,,23.94755962225279,,
2023-04-13,-1.608059155161956,,,,23.118505124154808,,
2023-04-14,-0.6897105409184867,,,,25.45234512877146,,
2023-04-15,-0.9967055136344438,,,,21.18627389016585,,
2023-04-16,-1.1498141172993859,,,,10.620573802716038,,
2023-04-17,-1.1972638397055424,,,,9.375753739943772,,
2023-04-18,-1.567125073805553,,,,8.605266459966376,,
2023-04-19,-1.5680870912953448,,,,3.8968489025331454,,
2023-04-20,-1.7687635086726439,,,,0.4916480670844603,,
2023-04-21,-1.7669121417385525,,,,0.04355808251963467,,
2023-04-22,-2.5541653784698637,,,,-1.6912990481495083,,
2023-04-23,-2.0325763319015477,,,,0.4958391110809979,,
2023-04-24,-2.2310501367384883,,,,0.17470810674016235,,
2023-04-25,-2.3754826218816527,,,,1.1897146923006918,,
2023-04-26,-1.8691153221782608,,,,4.757177074504582,,
2023-04-27,-1.4379240356267697,,,,8.113034448024226,,
2023-04-28,-1.308568357851947,,,,3.397345900679416,,
2023-04-29,-1.3566797694800736,,,,4.288202056975532,,
2023-04-30,-1.3886539598557124,,,,2.6974891587529415,,
2023-05-01,-0.9768168148637901,,,,-1.351258736859351,,
2023-05-02,-0.6616054659282056,,,,1.7676852832275713,,
2023-05-03,-0.8152148237463686,,,,4.410647482014385,,
2023-05-04,-1.5440992858201885,,,,2.388349990254013,,
2023-05-05,-1.1602038916006752,,,,4.741212374436521,,
2023-05-06,-0.7325448655166156,,,,2.9049911856464883,,
2023-05-07,-0.9515928857290135,,,,1.8768859968329554,,
2023-05-08,-1.0873655043500574,,,,-0.9649449968108348,,
2023-05-09,-1.1634640374639016,,,,-2.4555002584402574,,
2023-05-10,-0.8316910701528624,,,,-6.878451305009159,,
2023-05-11,-1.025354591257055,,,,-10.70117567901373,,
2023-05-12,-1.0379495183451826,,,,-10.348811415390823,,
2023-05-13,-0.9511202530082419,,,,-11.847563561275098,,
2023-05-14,-1.0584891575699418,,,,-11.649713312105947,,
2023-05-15,-1.0230361668706056,,,,-10.341444768772767,,
2023-05-16,-1.0076841557396632,,,,-10.793096109012978,,
2023-05-17,-1.0819467196501176,,,,-6.87951554640851,,
2023-05-18,-1.1996589852785067,,,,-11.71405144369604,,
2023-05-19,-0.9007360980458068,,,,-6.656364703390272,,
2023-05-20,-1.0226172687177626,,,,-4.040625060854386,,
2023-05-21,-0.7964055545040538,,,,-1.8892382451718204,,
2023-05-22,0.050799643592447374,,,,-3.47839528918622,,
2023-05-23,-0.7116848417134003,,,,-1.3446246185294886,,
2023-05-24,-0.7907487068465668,,,,-4.29618337148181,,
2023-05-25,-1.0416534000933009,,,,-6.455650177963235,,
2023-05-26,-0.9366349831193332,,,,-6.015669732738971,,
2023-05-27,-1.0661628895073716,,,,-8.884472005854892,,
2023-05-28,-0.8927785681307254,,,,-4.253250408539932,,
2023-05-29,-0.766872679982622,,,,-5.1112795047630115,,
